doc_id,word,label,context
2,histamine,Chemical,...Famotidine is a histamine H2 - receptor antagonist used in inpati...
10,renin,Chemical,...re maintaining effect of the stimulated renin - angiotensin system in sodium...
29,co,Chemical,...Co - morbid major depressive disorder ( OR...
58,p2x3,Chemical,...the study is to explore the function of P2X3 and NK1 receptors antagonists on cyclop...
58,nk1,Chemical,... is to explore the function of P2X3 and NK1 receptors antagonists on cyclophosphami...
66,p2x3,Chemical,"... subsequently perfusion of bladder with P2X3 and NK1 receptors ' antagonists , Suram..."
66,nk1,Chemical,"...ntly perfusion of bladder with P2X3 and NK1 receptors ' antagonists , Suramin and G..."
101,acetylcholinesterase,Chemical,...s anxiety - like behavior and decreases acetylcholinesterase activity of hippocampus in adult male m...
117,alterations,Disease,...on significantly prevented the observed alterations ....
184,hiv,Disease,...tion of the pattern of kidney injury in HIV - positive persons exposed to tenofovir...
186,hiv,Disease,... analysis of Yellow Card records of 407 HIV - positive persons taking tenofovir dis...
227,vision,Disease,...zolid resulted in marked improvement of vision ....
229,lipid,Chemical,"...Resuscitation with lipid , epinephrine , or both in levobupivaca..."
232,saline,Chemical,"...ly allocated to four groups : control ( saline ), Intralipid () alone , epinephrine al..."
232,intralipid,Chemical,"...ed to four groups : control ( saline ), Intralipid () alone , epinephrine alone , or a com..."
236,intralipid,Chemical,"...er of ECG abnormalities was zero in the Intralipid only group , but 14 and 17 , respective..."
236,lipid,Chemical,...in the epinephrine and epinephrine plus lipid groups ( P < 0 ....
237,last,Disease,...pontaneous circulation in this model of LAST ....
240,thrombopoetin,Chemical,"... by portal hypertension , low levels of thrombopoetin , and endotoxemia ...."
244,platelets,Chemical,"...latelet count , postoperative course of platelets , and clinical signs of HIT type II wer..."
290,lipid,Chemical,"...o evaluate changes in the regulation of lipid metabolism , ERK and LDLr expression in..."
290,erk,Chemical,"...in the regulation of lipid metabolism , ERK and LDLr expression in the liver of rat..."
290,ldlr,Chemical,"...egulation of lipid metabolism , ERK and LDLr expression in the liver of rats exposed..."
293,ldl,Chemical,"...evels of cholesterol , triglyceride and LDL in blood of rats were analyzed ...."
295,ldl,Chemical,"...tions of cholesterol , triglyceride and LDL ...."
296,ldlr,Chemical,...ed ERK1 / 2 protein phosphorylation and LDLr transcript ....
297,erk,Chemical,...Crocin reduced inhibition of ERK activation and diazinon - induced hyper...
297,ldlr,Chemical,...ed hyperlipemia and increased levels of LDLr transcript ....
299,p,Chemical,...GEM - P chemotherapy is active in the treatment...
323,morbidity,Disease,...he increased psychological and physical morbidity associated with heavy recreational use ...
341,cin,Disease,...CIN was defined as an increase in serum cre...
349,cin,Disease,...017 ). CIN was significantly more after treatment ...
353,cin,Disease,...ecan may be additional risk factors for CIN development ....
363,antidepressants,Chemical,...as been widely reported with a range of antidepressants ....
365,antidepressants,Chemical,...ns should be aware of the potential for antidepressants to cause hyponatremia...
371,tap,Chemical,...nd oxidized pyrimidines ) and decreased TAP ....
404,saline,Chemical,...There were no differences between saline - and apigenin - treated groups in the ...
406,saline,Chemical,"...., 30 min before the acquisition ). The saline - and apigenin - treated rats that did ..."
413,saline,Chemical,...se of rat dentate gyrus ( DG ) in acute saline or morphine - treated rats ....
433,gfap,Chemical,"...STZ causes increased expression of GFAP , CD11b and TNF - a indicating glial ac..."
433,cd11b,Chemical,"...Z causes increased expression of GFAP , CD11b and TNF - a indicating glial activation..."
434,ros,Chemical,"...so significantly increased the level of ROS , nitrite , Ca ( 2 +) and reduced the m..."
436,camkiia,Chemical,"...ase expression of post synaptic markers CaMKIIa and PSD - 95 , while , expression of pr..."
436,synaptophysin,Chemical,"... , expression of pre synaptic markers ( synaptophysin and SNAP - 25 ) remains unaltered indic..."
441,gfap,Chemical,"...The level of GFAP , CD11b , TNF - a , ROS and nitrite lev..."
441,cd11b,Chemical,"...The level of GFAP , CD11b , TNF - a , ROS and nitrite levels were..."
441,ros,Chemical,"...The level of GFAP , CD11b , TNF - a , ROS and nitrite levels were increased ...."
443,apoptosis,Disease,... and oxidative stress occurs earlier to apoptosis and does not affect memory function ....
447,cin,Disease,"...calcium channel blocker , in preventing CIN ...."
460,leucovorin,Chemical,"...cations in intrathecal ( IT ) therapy , leucovorin rescue , and frequency of systemic MTX ..."
486,intralipid,Chemical,... investigate the effects of propofol in intralipid or medialipid emulsions on bupivacaine ...
486,medialipid,Chemical,...he effects of propofol in intralipid or medialipid emulsions on bupivacaine - induced card...
488,intralipid,Chemical,"...5 mg / kg / min propofol in intralipid ( Group P ), propofol in medialipid ( G..."
488,medialipid,Chemical,"... in intralipid ( Group P ), propofol in medialipid ( Group L ), or saline ( Group C ) over..."
488,saline,Chemical,"... propofol in medialipid ( Group L ), or saline ( Group C ) over 20 min ...."
497,intralipid,Chemical,"...e that pre - treatment with propofol in intralipid , compared with propofol in medialipid ..."
497,medialipid,Chemical,"... intralipid , compared with propofol in medialipid or saline , delayed the onset of bupiva..."
497,saline,Chemical,"...compared with propofol in medialipid or saline , delayed the onset of bupivacaine - in..."
503,transaminases,Chemical,...ues showed elevated creatine kinase and transaminases ....
506,statins,Chemical,"...Therefore , when prescribing statins , the possibility of hepatic damage..."
509,platelets,Disease,...o have changes in white blood cells and platelets within 48 h of administration of flucon...
514,ctnt,Chemical,...d high - sensitive cardiac troponin T ( cTnT ) could predict future cardiac dysfunct...
547,chemotherapy,Chemical,...5 ) from baseline to the third cycle of chemotherapy predicted later cardiotoxicity ....
587,lf,Chemical,...the effect of chronic administration of LF on oxidative stress and hypertension up...
598,lf,Chemical,...LF prevented body weight loss and signific...
599,lf,Chemical,...Chronic administration of LF strongly reduced the blood pressure and...
599,ros,Chemical,...ed the blood pressure and production of ROS and improved antioxidant capacity in De...
640,opioid,Chemical,"...In this case report , we highlight opioid ' s inhibitory side effects on the cere..."
688,symptoms,Disease,"...fter withdraw of valproate , patients ' symptoms resolved within 24 h ...."
693,rituximab,Chemical,"...tezomib , high - dose dexamethasone and rituximab ...."
702,cytomegaly,Disease,"...diomyocyte degeneration , hypertrophy / cytomegaly , and extensive vacuolation after two d..."
702,vacuolation,Disease,"...ypertrophy / cytomegaly , and extensive vacuolation after two doses ...."
705,ctni,Chemical,"...nt and serological cardiac troponin I ( cTnI ) emerged after eight doses , important..."
714,hyperalgesia,Disease,...Areas of secondary hyperalgesia and allodynia were quantified immediate...
725,glucocorticoid,Chemical,...ss reduction rescues glaucoma in murine glucocorticoid - induced glaucoma ....
726,glucocorticoids,Chemical,...Administration of glucocorticoids induces ocular hypertension in some pat...
727,glucocorticoid,Chemical,...a ( POAG ). The underlying pathology of glucocorticoid - induced glaucoma is not fully underst...
728,glucocorticoid,Chemical,"...Here , we developed a murine model of glucocorticoid - induced glaucoma that exhibits glauco..."
730,glucocorticoid,Chemical,"... , and axonal degeneration , resembling glucocorticoid - induced glaucoma in human patients ...."
734,glucocorticoid,Chemical,... indicate that ER stress contributes to glucocorticoid - induced ocular hypertension and sugge...
734,glucocorticoid,Chemical,... as a therapeutic strategy for treating glucocorticoid - induced glaucoma...
735,opioid,Chemical,...Effects of ginsenosides on opioid - induced hyperalgesia in mice ....
736,opioid,Chemical,...Opioid - induced hyperalgesia ( OIH ) is chara...
736,opioid,Chemical,...tion caused by the cessation of chronic opioid use ....
738,re,Chemical,"... study , we investigated the effects of Re, Rg1, and Rb1 ginsenosides , the bioact..."
738,rg1,Chemical,"...dy , we investigated the effects of Re, Rg1, and Rb1 ginsenosides , the bioactive c..."
738,rb1,Chemical,"...nvestigated the effects of Re, Rg1, and Rb1 ginsenosides , the bioactive components..."
738,ginsenosides,Chemical,"...tigated the effects of Re, Rg1, and Rb1 ginsenosides , the bioactive components of ginseng ,..."
741,writhing,Disease,...vity test and the acetic acid - induced writhing test ....
743,rg1,Chemical,"...However , the Rg1 and Rb1 ginsenosides failed to prevent ..."
