doc_id,word,label,context
2,his,Chemical,...Famotidine is a histamine H2 - receptor antagonist used in ...
10,prostagland,Chemical,"...Thus , indomethacin by inhibition of prostaglandin synthesis may diminish the blood pres..."
10,angiotens,Chemical,...aining effect of the stimulated renin - angiotensin system in sodium...
18,dependence,Disease,...chosis in patients with methamphetamine dependence ....
19,psychiatric,Disease,...The association between psychiatric co - morbidity and methamphetamine - in...
46,dependence,Disease,...chosis in patients with methamphetamine dependence ....
48,dependence,Disease,...ended that all cases of methamphetamine dependence should be screened for psychotic sympto...
54,pas,Chemical,...al study looking at changes in LIDs and PAS - induced plasticity after 10 sessions ...
66,g,Chemical,"...1 receptors ' antagonists , Suramin and GR 82334 ...."
66,8233,Chemical,"...eceptors ' antagonists , Suramin and GR 82334 ...."
101,behavior,Disease,...to Bisphenol A increases anxiety - like behavior and decreases acetylcholinesterase acti...
112,extract,Chemical,...ochemical effects of Solidago virgaurea extract on experimental cardiotoxicity ....
114,solidago,Chemical,...nvestigate the protective effect of the Solidago virgaurea extract on isoproterenol - in...
115,la,Chemical,"... led to a significant increase in serum lactate dehydrogenase , creatine phosphoki..."
115,crea,Chemical,"...crease in serum lactate dehydrogenase , creatine phosphokinase , alanine transaminas..."
115,al,Chemical,"...ehydrogenase , creatine phosphokinase , alanine transaminase , aspartate transamin..."
115,an,Chemical,"...saminase , aspartate transaminase , and angiotensin - converting enzyme activities..."
115,chole,Chemical,"... - converting enzyme activities , total cholesterol , triglycerides , free serum fatt..."
115,malondialdehy,Chemical,"... free serum fatty acid , cardiac tissue malondialdehyde ( MDA ), and nitric oxide levels and ..."
117,v,Chemical,...virgaurea extract for 5 weeks at a dose o...
117,extract,Chemical,...virgaurea extract for 5 weeks at a dose of 250 mg / kg fo...
118,angio,Chemical,".../ day , given orally ), an inhibitor of angiotensin - converting enzyme used as a sta..."
120,v,Chemical,...virgaurea extract exerts its protective e...
120,extract,Chemical,...virgaurea extract exerts its protective effect by decreas...
145,r,Chemical,...Our study confirms that RD is effective and safe in RRMM...
147,ne,Disease,"...rogen mustard , administrated as an antineoplasmic agent ...."
148,u,Disease,"...It is characterized by its intense urotoxic action , leading to hemorrhagic ..."
152,me,Chemical,"...Mesna ' s action , in conjunction with IFO..."
152,na,Chemical,"...Mesna ' s action , in conjunction with IFO re..."
182,inter,Disease,"...es such as acute or chronic rejection , interstitial fibrosis and tubular atrophy , o..."
183,mon,Disease,...ransplant patient with pre - transplant monoclonal gammapathy of undetermined signi...
184,hi,Disease,...tion of the pattern of kidney injury in HIV - positive persons exposed to tenofovi...
186,hiv,Disease,... analysis of Yellow Card records of 407 HIV - positive persons taking tenofovir dis...
186,kidney,Disease,...gulatory Agency ( MHRA ) with suspected kidney adverse effects ....
188,t,Chemical,"...s analysed , 106 satisfied criteria for TDF - related kidney disease , of which 5..."
192,post,Disease,...Incidence of postoperative delirium is high even in a pop...
