entity_text,word_length,bert_token_count,biobert_token_count
sore throat,2,2,2
Streptozotocin,1,6,6
rifampin,1,4,4
Granisetron,1,3,3
glaucoma,1,4,4
ethanolic extract of Terminalia chebula fruits,6,9,10
nevirapine,1,3,4
motor disability,2,2,2
cardiovascular toxicity,2,2,3
bilirubin,1,4,4
suxamethonium,1,5,5
myocardial ischemia,2,6,7
vigabatrin,1,4,4
GSSG,1,2,3
eczema,1,3,3
hematuria,1,3,3
nocistatin,1,4,4
prolonged status epilepticus,3,6,6
amisulpride,1,4,4
particulate matter,2,3,3
choreic mid-dose dyskinesias,3,11,11
CVD,1,2,2
IS,1,1,1
AD,1,1,1
NSCLC,1,3,3
ischemia of the globus pallidus,5,11,12
alopecia,1,3,3
losartan,1,3,3
proteinuric,1,3,3
ADR,1,2,2
Cr,1,1,2
carcinoma,1,3,3
hyper- or hypotension,3,8,9
Flurothyl,1,3,4
anemia,1,2,2
thrombophlebitis,1,7,7
labetalol,1,4,3
rigidity,1,2,2
cerebral anoxia,2,4,4
tenofovir,1,4,4
end-stage liver disease,3,5,5
hyperlipemia,1,3,4
Anemia,1,2,2
antibiomania,1,3,4
myositis,1,3,3
globus pallidus infarctions,3,9,10
Drug-induced liver injury,3,5,5
hypertrophic,1,3,4
migraine headache,2,3,4
Hepatic dysfunction,2,4,6
cirrhotic diseases,2,5,6
Vasurix polyvidone,2,6,8
poisoning,1,1,1
cardiac diseases,2,2,2
helodermin,1,4,4
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",1,25,26
folinic acid,2,4,4
hyperkalemia,1,3,4
Takotsubo syndrome,2,5,5
Waldenstrom macroglobulinaemia,2,8,8
Doxorubicin,1,6,5
respiratory failure,2,2,2
butyrylthiocholine,1,7,7
calcium carbonate,2,2,3
intrahepatic cholestasis,2,8,9
downbeating nystagmus,2,7,7
Damage of substantia nigra pars reticulata,6,12,13
Argatroban,1,4,4
glutamine,1,4,3
glycopyrrolate,1,6,5
Diphenhydramine,1,5,6
vincristine,1,4,5
neuroleptics,1,5,5
N-methyl-D-aspartic acid,2,10,11
SRC,1,2,2
filariasis,1,4,4
urinary bladder inflammation,3,5,5
edrophonium,1,4,4
nimesulide,1,4,4
thrombi,1,3,3
COX-2 inhibitors,2,4,6
gemcitabine,1,4,5
infantile spasms,2,4,5
thiols,1,3,3
sodium salicylate,2,5,5
dobutamine,1,4,3
gynecologic and testicular cancers,4,9,10
ototoxicity,1,4,5
morphine sulfate,2,3,6
PDN,1,2,2
"tert-butyl-(S)-8-bromo-11,12,13,13a-tetrahydro-9-oxo-9H- imidazo[1,5-a]-pyrrolo-[2,1-c][1,4]benzodiazepine-1-carboxylate",2,77,79
hemolytic anemias,2,6,6
ATP,1,1,1
remifentanil,1,5,5
CIBA,1,2,3
Posterior leukoencephalopathy,2,8,10
opioid addiction,2,4,4
neuroleptic drugs,2,5,5
conduction disorder,2,3,3
lung mass,2,2,2
gliclazide,1,5,5
t-[35S]butylbicyclophosphorothionate,1,17,18
glomerulonephritis,1,8,7
beta adrenergic and muscarinic receptors blockade,6,12,13
benzene,1,2,3
Mitochondrial impairment,2,2,8
domperidone,1,4,4
Suramin,1,3,3
lymphoma,1,4,3
d-galactose,1,5,5
hypoglycaemia,1,6,6
oxacillin,1,4,4
Cisplatin,1,3,5
sustained membrane depolarisation,3,6,6
thromboembolic,1,5,5
Hyponatremia,1,5,6
HMM,1,1,2
Myopathy,1,3,3
calcium gluconate,2,5,5
thiabendazole,1,6,6
abnormal ocular motility,3,5,6
Nephrosis,1,3,4
Skin rash,2,2,3
paresthesias,1,3,4
a significant rise in systolic blood pressure,7,9,10
desmethylfluoxetine,1,8,8
polyethylene glycol-asparaginase,2,12,15
androgen,1,2,2
S-312-d,1,5,5
alendronate,1,4,4
Torsades de pointes,3,6,6
idiopathic cardiomyopathy,2,7,8
amygdala dysfunction,2,5,8
MitoQ,1,3,3
Hyperprolactinemia,1,6,7
Catalepsy,1,3,3
anorexia,1,3,3
myocardial stunning,2,4,5
PGE2,1,3,3
diabetes complications,2,2,2
trimethoprim-sulfamethoxazole,1,12,12
central nervous system leukemia,4,4,6
cholestatic,1,4,3
monoamines,1,3,3
Zidovudine,1,4,4
cardiac toxicity,2,2,2
thrush,1,2,2
levothyroxine,1,5,6
dizziness,1,2,3
Sirolimus,1,3,3
depressive symptoms,2,3,3
progestogens,1,4,4
Gustatory hyperhidrosis,2,5,8
NADPH,1,2,4
long-QT syndrome,2,5,5
stomatitis,1,4,4
Zn,1,2,2
hyper,1,1,2
linezolid,1,3,3
psychoses,1,2,4
Ara-C,1,3,3
pethidine,1,3,3
hepatitis,1,1,3
sleep-related impairments,2,5,6
glucosuria,1,4,4
leukopenia,1,4,4
trazodone,1,4,4
oxygen,1,1,1
vasogenic edema,2,5,5
Renal dysfunction,2,2,5
human immunodeficiency virus type 1-infected,5,11,11
cortisol,1,3,4
accelerated junctional rhythms,3,4,4
ICRF-187,1,4,5
glioblastoma multiforme,2,8,7
phenobarbital,1,5,6
corticosteroid,1,5,5
vancomycin,1,4,4
bone marrow toxicity,3,3,4
Aza,1,2,2
status migrainosus,2,5,5
Antineutrophil cytoplasmic antibody (ANCA)--associated vasculitis,5,21,24
mucositis,1,3,4
Dianabol,1,2,2
oral candidiasis,2,4,5
"abnormalities in the cortex, hippocampus, white matter, and ventricles",9,17,18
Flushing,1,1,3
ofloxacin,1,4,4
acute tubular necrosis,3,4,6
Propylthiouracil,1,6,7
cardiovascular collapse,2,2,3
deterioration of renal function,4,4,8
fatigue,1,1,1
pulmonary edema,2,3,3
Hematologic toxicity,2,4,5
tiapride,1,3,4
albuterol,1,3,4
proenkephalin,1,5,5
lindane,1,2,3
postoperative nausea and vomiting,4,6,7
coronary heart disease,3,4,5
vision and hearing loss,4,4,4
D-amphetamine,1,5,5
glomerulosclerosis,1,7,6
hypoactivity,1,5,5
adenosine,1,3,4
D-glucarates,1,6,6
thromboembolism,1,6,6
depressive disorder,2,3,3
asthmatics,1,2,4
granulocyte colony-stimulating factor,3,8,11
5-Hydroxytryptamine,1,7,8
acute prerenal failure,3,5,5
Salicylate,1,4,4
flurothyl,1,3,3
dipyridamole,1,5,5
phenylephrine,1,5,5
pilsicainide,1,5,5
5-Fluorouracil,1,7,8
sumatriptan,1,4,4
psychiatric disorders,2,2,2
optic disc edema,3,4,5
retained placenta,2,3,3
nitrous oxide,2,4,4
hyperparathyroidism,1,5,6
renal impairment,2,2,5
post-transplantation lymphoproliferative disorder,3,12,11
toxic dermatitis,2,4,4
multiple myeloma,2,4,4
neonatal apnea,2,4,6
microphthalmos,1,4,4
L-dopa,1,4,4
hepatitis B surface antigen,4,4,7
d-glucose,1,3,3
thrombopenia,1,5,5
myocardial dysfunction,2,4,7
Cholestasis,1,4,4
myocardial strain,2,4,5
cognitive disorders,2,2,2
CML,1,2,2
Apnea,1,2,3
Contrast,1,1,3
tubular injury,2,2,3
naloxone,1,4,4
thiol,1,2,2
Hypoxaemia,1,5,5
learning and post-training consolidation deficits,5,8,8
terbinafine,1,3,4
hypertensive,1,3,3
fatty acids,2,2,2
impaired consciousness,2,2,2
CDDP,1,2,2
sensory and motor dysfunction,4,4,6
mantle cell lymphoma,3,6,5
cysteine,1,3,4
BaCl2,1,3,4
FA,1,1,1
palsy,1,2,3
ischemic lesions,2,4,4
bipolar disorder,2,2,4
bradyarrhythmia,1,6,7
Terminalia chebula,2,4,5
NO,1,1,1
choreatic dyskinesias,2,8,8
loss of myelination,3,5,5
Hypercalcemia,1,4,5
glutathione,1,5,4
pupil dilation,2,3,3
bacteremias,1,4,5
DOX,1,2,2
tiaprofenic acid,2,5,7
pseudoprolactinoma,1,6,6
Kidney cancer,2,2,3
cardiac disease,2,2,2
citrate,1,3,3
rhabdomyolysis,1,5,5
panic attacks,2,2,2
myoclonia,1,4,4
lorazepam,1,4,4
visual defects,2,2,2
metoprolol,1,4,4
ioxaglate,1,4,4
Nitroglycerin,1,5,5
Menstrual abnormalities,2,5,6
Mental Disorders,2,2,4
3TC,1,2,2
isotretinoin,1,4,5
necrotising fasciitis,2,7,8
isoproterenol,1,5,5
"(S)-(-)-3-bromo-N-[(1-ethyl-2-pyrrolidinyl)methyl]-2,6-dimethoxybenz amide",2,46,47
doxorubicin,1,6,5
cholestasis,1,4,4
myocardial degeneration,2,6,7
Thromboxane,1,4,5
malignant hyperthermia,2,5,7
valvular heart disease,3,5,6
lymphopenia,1,5,4
Codeine,1,2,2
DMPX,1,3,3
gastric cancer,2,3,3
Estrogen,1,2,3
AMI,1,1,2
methionine,1,4,4
ramipril,1,3,3
indomethacin,1,4,5
hepatic injury,2,4,4
schizo-affective disorder,2,7,7
catecholamines,1,5,5
psychiatric symptoms,2,2,2
fasciculation,1,4,5
cholate,1,2,2
beclomethasone dipropionate,2,10,10
paracetamol,1,4,4
cisplatinum,1,4,6
restless legs syndrome,3,3,3
DSP4,1,3,3
emesis,1,2,2
monosaccharides,1,5,5
inappetence,1,3,4
hypertrophic hearts,2,4,5
Alfentanil,1,4,4
MPTP,1,2,2
ventricular tachyarrhythmia,2,10,10
neurotransmitter dysfunction,2,7,9
mitochondrial oxidative damage,3,5,6
fluoride,1,3,3
nefiracetam,1,4,4
cardiac dysfunction,2,2,4
Lithium,1,1,3
neuropsychiatric disorders,2,6,6
End-Stage Liver Disease,3,5,6
norepinephrine,1,5,5
Quinacrine hydrochloride,2,7,9
Amiodarone,1,3,4
acute renal artery thrombosis,4,7,8
thromboembolic phenomena,2,6,6
depressive and psychotic symptoms,4,5,7
Rifampicin,1,5,5
thiopentone,1,4,4
tubulo-interstitial injury,2,7,8
ammonium,1,2,3
TLS,1,2,2
desipramine,1,4,4
membranous glomerulonephritis,2,12,11
glucose hypometabolism,2,7,8
acute encephalopathy,2,6,6
Downbeat nystagmus,2,6,6
cluster headache,2,2,2
Hepatocellular carcinoma,2,7,7
hepatotoxic,1,6,6
MCL,1,2,2
dibucaine,1,4,4
Metolachlor,1,4,4
cholesterols,1,4,4
cognitive and affective dysfunction,4,5,7
Pure red cell aplasia,4,6,6
carcinomas of the urinary bladder,5,9,10
propylthiouracil,1,6,6
thiobarbituric acid,2,7,7
chronic kidney disease,3,3,3
metabolic derangement,2,4,4
angiotensin-converting enzyme (ACE) inhibitors,4,11,13
strophantine G,2,5,6
hepatoma,1,4,4
VPA,1,2,2
methotrexate,1,5,5
endometrial cancer,2,5,5
microprolactinoma,1,6,6
digoxin,1,3,3
autistic disorder,2,4,4
hyperkinetic,1,3,4
CMV infection,2,3,4
erythromycin,1,5,5
Central nervous system toxicity,4,4,4
Cu,1,1,2
azimilide,1,3,4
drug-induced liver damage,3,5,5
tobramycin,1,4,4
Glu,1,2,2
motor deficits,2,3,3
T-cell lymphoblastic lymphoma,3,12,10
Parkinson's Disease,2,4,4
macroprolactinemia,1,6,6
androgens,1,3,3
ureteric obstruction,2,4,6
Epsilon aminocaproic acid,3,6,8
Digoxin,1,3,3
shock,1,1,1
HBsAg,1,3,5
acute coronary syndrome,3,4,5
fibrillation,1,3,4
inattention,1,3,4
ALF,1,1,2
renal lesions,2,2,3
erdosteine,1,4,4
heart diseases,2,2,2
torsade de pointes,3,6,6
fenfluramine,1,4,6
Serotonin,1,3,3
hypoaldosteronism,1,7,7
Renal lesions,2,2,3
acetaminophen,1,5,5
eslicarbazepine acetate,2,7,8
ventricular arrhythmias,2,8,9
sodium chloride,2,2,2
hepatocellular damage,2,5,5
Valproic acid,2,4,5
muscle spasm,2,3,3
Coronary heart disease,3,4,5
microfilaremia,1,4,4
monosodium glutamate,2,7,7
metabolic disturbances,2,2,3
EPS,1,1,2
bromide,1,2,3
phosphorus,1,1,3
hematological disorders,2,4,4
autonomic neuropathy,2,6,6
bradykinesia,1,4,5
propidium iodide,2,5,6
Thoracic hematomyelia,2,7,8
cystitis,1,3,3
hemiparesis,1,4,4
neuropathic pain,2,4,4
myxoedema coma,2,5,6
Nasal hypoplasia,2,6,6
Busulfan,1,3,3
5-hydroxytryptamine,1,7,8
benzoylcholine,1,5,5
HCl,1,2,2
parkinsonian,1,2,4
atropine,1,3,3
palpitations,1,3,4
antisocial disorder,2,4,4
dyskinesia,1,5,5
teratogenic,1,3,3
toxic liver damage,3,3,3
phosphatidylserine,1,7,8
Lindane,1,2,2
leukocyturia,1,5,5
TNA,1,1,1
Angiotensin-converting enzyme (ACE) inhibitors,4,11,13
ketoconazole,1,5,5
Etomidate,1,3,4
levobupivacaine,1,6,7
valsartan,1,3,4
ANCA positive vasculitis,3,7,8
flecainide,1,4,4
Taussig-Bing malformation,2,8,9
Butyrylcholinesterase deficiency,2,8,8
acute liver failure,3,3,3
hepatitis B,2,2,4
aspartate,1,3,3
EACA,1,2,2
alcoholic cirrhosis,2,4,6
infective endocarditis,2,7,7
FLA797,1,5,5
papular rosacea,2,5,6
uremic,1,3,3
confusion,1,1,1
Penicillin,1,3,3
crack cocaine,2,2,2
BTC,1,2,2
sodium pentobarbital,2,6,6
Clentiazem,1,5,5
succimer,1,3,3
Amoxicillin-clavulanate,1,9,9
"1,3-bis (2-chloroethyl)-1-nitrosoure",2,21,22
bisphosphonates,1,5,5
Citalopram,1,4,4
Testosterone,1,1,2
Fluo3,1,3,4
letrozole,1,4,4
cardiomyocyte degeneration,2,8,8
[omega-I-131]heptadecanoic acid,2,13,15
CLE,1,2,2
polyarthralgia,1,4,6
Brain injury,2,2,2
kidney tubular dysfunction,3,3,6
pneumoniae,1,2,2
steroids,1,2,3
Ecstasy,1,1,4
beta-carboline,1,5,5
Phe,1,2,2
carbon,1,1,1
haemorrhagic,1,6,6
nitrogen,1,1,1
myocardial ischemic injury,3,7,8
zidovudine,1,4,4
mania,1,1,2
bradycardic,1,3,4
cardiac injury,2,2,2
coronary vasospasm,2,6,8
Hyperkalemia,1,3,4
cognitive impairment,2,2,4
Carvedilol,1,3,4
erythema,1,3,4
bevacizumab,1,5,6
diarrhea,1,3,4
bile salt,2,2,3
NCQ436,1,4,4
endometrial hyperplasia,2,7,8
flumazenil,1,4,4
tempol,1,2,2
hexauronic acids,2,5,5
sulfhydryl,1,5,5
quinacrine hydrochloride,2,7,9
menorrhagia,1,5,5
subependymal cysts,2,7,8
ergometrine,1,4,4
Binasal visual field defects,4,6,6
"liver, blood, skin, and renal disorders",6,9,10
fulminant eosinophilic,2,9,9
zolmitriptan,1,5,5
Garcinielliptone FC,2,7,7
inflammatory facial dermatoses,3,5,6
abnormal involuntary movements,3,3,6
prostate cancer,2,2,3
lymphadenopathy,1,6,5
d-tubocurarine,1,6,6
cyproterone acetate,2,6,7
AL,1,1,1
postoperative delirium,2,6,6
hypercalcemic emergency,2,5,6
aphasia,1,3,3
sulphonylureas,1,5,6
AN,1,1,1
iodine,1,2,3
nephrosis,1,3,3
Clarithromycin,1,6,6
Piperacillin,1,4,4
Anti-thyroid drugs,2,4,5
milk-alkali syndrome,2,5,6
Gemcitabine,1,4,5
auditory hallucinations,2,4,6
blindness,1,1,2
hereditary angioedema,2,5,5
spasmodic dysphonia,2,7,7
impaired memory performance,3,3,3
Disoprivan,1,4,5
NaCl,1,2,3
TDF,1,2,2
misoprostol,1,5,6
5'-N-ethylcarboxamidoadenosine,1,14,14
palpitation,1,3,4
warfarin,1,3,3
neuroleptic medications,2,5,5
nonalcoholic fatty liver disease,4,8,8
paralysis,1,1,2
triglyceride,1,4,5
enlargement of pulse pressure,4,6,6
testicular pain,2,3,3
nephropathy,1,4,4
telaprevir,1,4,4
Neuroleptic malignant syndrome,3,7,8
Carbamazepine,1,5,5
cyclophosphamide,1,6,8
DEP,1,2,2
CLD,1,2,2
iAs,1,2,2
cocaethylene,1,4,5
nephrotic syndrome,2,5,5
ventricular tachycardia,2,7,7
POAG,1,2,3
dysguesia,1,4,4
albuminuria,1,3,3
Interferon,1,3,3
Olanzapine,1,3,4
thromboxane B2,2,6,6
psychotic symptoms,2,2,4
malignancies,1,3,4
hematoxylin,1,4,4
DM-9384,1,6,6
mitochondrial dysfunction,2,2,4
dihydrothienopyridine calcium,2,9,9
2-p-(2-carboxyethyl)phenethylamino-5'-N-ethylcarboxamidoadenosine,1,33,34
ANT-MI,1,3,4
PAN,1,1,2
levodopa,1,3,4
psoriatic,1,3,3
Hodgkin lymphoma,2,8,7
dexamphetamine,1,4,5
AIN,1,1,2
urinary tract infections,3,5,5
methylphenidate,1,4,5
agranulocytosis,1,5,6
thyroid disease,2,2,3
Nafcillin,1,4,4
obesity,1,1,2
Ethacrynic acid,2,6,6
neurologic deterioration,2,4,8
mannitol,1,3,4
panic disorder,2,2,2
dysplasia of fetal kidneys,4,8,9
reperfusion injury,2,4,4
renal tubular acidosis,3,4,6
hydrocortisone,1,4,5
3-methoxy-4-hydroxyphenethyleneglycol,1,16,18
acute renal injury,3,3,4
fluorouracil,1,5,5
D-ribose,1,4,4
Terfenadine,1,4,4
sulphonylurea,1,5,5
ARF,1,2,2
PPH,1,2,2
cerebral ischemia,2,4,4
urinary tract cancer,3,5,5
antithyroidmedications,1,6,6
Sotalol,1,3,3
anxiety disorders,2,2,2
rash,1,1,2
DEC,1,1,2
ribavirin,1,3,3
clentiazem,1,5,5
nitric-oxide,1,4,4
oral contraceptives,2,4,5
dihydropyridine,1,6,6
broken heart syndrome,3,3,3
rifampicin,1,5,5
paraplegia,1,3,3
Fungizone,1,2,3
phenytoin sodium,2,5,6
cytarabine,1,3,4
nitroprusside,1,5,5
Pilsicainide,1,5,5
malignant glioma,2,5,6
potassium,1,1,1
aggression,1,1,1
behavioral dyscontrol,2,6,6
ALL,1,1,2
myopathic,1,3,4
hematoma,1,3,3
dyskinesias,1,5,5
amino,1,1,1
Cortical dysplasia,2,7,7
Methyldopa,1,3,4
DOCA,1,2,3
succinylcholine,1,6,6
protamine sulfate,2,4,5
catechol,1,3,3
mianserin,1,3,4
LV dysfunction,2,3,5
Medroxyprogesterone acetate,2,9,10
Vinorelbine,1,4,4
ulcer,1,2,2
Dexamethasone,1,5,5
cocaine abuse,2,2,2
hyperhidrosis,1,3,5
dilated cardiomyopathy,2,6,7
RLS,1,2,2
P11,1,2,2
sulfadiazine,1,4,4
glomerular hypertrophy,2,7,8
cancer,1,1,1
Aspirin,1,3,3
midazolam,1,4,4
Gastrointestinal abnormalities,2,5,7
burn,1,1,1
Edrophonium,1,4,4
Captopril,1,3,3
mesangial dysfunction,2,4,6
naproxen,1,4,3
TTC,1,2,2
fatty acid,2,2,2
xylometazoline,1,6,6
dimethylthiourea,1,6,6
Cerebral microbleeds,2,5,7
pyrrolidine dithiocarbamate,2,10,11
psychological disturbance,2,2,2
autoimmune hemolytic anemia,3,9,9
nociceptin,1,4,5
Vasovagal syncope,2,6,7
angio-oedema,1,6,6
clopidogrel,1,5,5
LOS,1,1,2
memory deficits,2,3,3
progestagens,1,4,4
toxoplasmosis,1,6,6
staphylococcal endocarditis,2,10,10
garcinielliptone FC,2,7,7
gram-negative bacillary infections,3,7,8
obstructive uropathy,2,7,7
cataleptic,1,3,3
Torsade de pointes,3,6,6
neutropenia,1,4,4
Coronary vasospasm,2,6,8
angiotensin II,2,5,5
Bortezomib,1,5,5
SE,1,1,1
cataract,1,3,3
Extrapyramidal Symptom,2,7,8
Isoproterenol,1,5,5
pentobarbital,1,5,5
polyarteritis nodosa,2,6,7
cardiac hypertrophy,2,4,5
anxiety,1,1,1
Bradycardia,1,3,3
muscle cramps,2,3,4
pyrazolones,1,5,5
glutamate,1,4,4
hemorrhagic bronchopneumonia,2,11,12
Glibenclamide,1,6,6
memory impairment,2,2,4
TAC,1,2,2
carbenicillin,1,4,4
premature (< 36 weeks of gestation) infants,7,10,11
quetiapine,1,3,3
onychomycosis,1,5,5
4HNE,1,3,3
carbetocin,1,4,4
impulsiveness,1,3,4
oral ulcers,2,4,4
antisocial personality,2,4,4
hypoalbuminemia,1,7,7
sugar alcohols,2,3,3
Niacin extended-release/lovastatin,2,11,11
retinoblastoma,1,5,4
Thrombocytopenia,1,6,7
visual field defects,3,3,3
Cimetidine,1,4,4
valproic acid,2,4,6
CTX,1,2,2
"1,3-Butadiene",1,7,7
Haloperidol,1,4,4
hydroxytyrosol,1,5,6
upper-extremity deep venous thrombosis,4,12,12
"2',3'-dideoxy cytosine",2,12,13
renal toxicity,2,2,3
prostaglandin E2,2,7,7
NCQ344,1,4,4
5-fluorouracil,1,7,7
clarithromycin,1,6,6
d-ribose,1,4,4
Impaired fear recognition,3,3,6
aminonucleoside,1,5,5
adductor spasmodic dysphonia,3,10,10
thyrotropin,1,4,4
atrial fibrillation and flutter,4,7,8
myoglobinuria,1,5,5
weakness,1,1,1
All-trans retinoic acid,3,7,7
Tobramycin,1,4,4
diabetes mellitus,2,4,4
methoxamine,1,4,4
CE,1,1,1
idiopathic epilepsy,2,6,6
lethargy,1,3,3
stroke,1,1,1
dissecting aneurysm,2,7,7
Musculoskeletal pain,2,7,7
bacteremia,1,3,4
Maleate,1,2,2
famotidine,1,4,4
pyrexia,1,3,3
malaria,1,1,1
penicillin,1,3,3
fluorescein,1,4,4
myotonia congenita,2,6,6
Acute renal failure,3,3,5
cholesterol,1,3,4
clonic seizure,2,3,4
prolonged QT syndrome,3,4,4
extrapyramidal syndrome,2,5,5
tumors,1,1,1
diethylpropion,1,5,5
Milk-alkali syndrome,2,5,6
ventricular tachyarrhythmias,2,10,11
Acute encephalopathy,2,6,7
calcium channel blockers,3,4,4
AGC,1,2,2
2'3' dideoxyinosine,2,10,10
Cotrimoxazole,1,5,6
Myotonia,1,3,3
throat pain,2,2,2
VAL,1,1,2
Mania,1,1,2
betaine,1,2,2
Adenosine,1,3,3
Estradiol,1,3,4
primary systemic amyloidosis,3,5,6
head and neck cancer,4,4,4
r-aminobutyric acid,2,7,6
toxic epidermal necrolysis,3,7,10
ischemic stroke,2,4,4
oestrogen,1,3,3
leprosy,1,3,4
weight loss,2,2,2
cocaine hydrochloride,2,5,6
psychosis,1,2,3
Corneal ulcers,2,5,6
